FileName,iou_score
5OTRV76xxeI_000036_000046_4.5_6.6,0.002600931
S4K3be6Bhao_000020_000030_2.0_5.0,0.016753899
Y4s1ZsiFuhQ_000090_000100_1.5_5.0,0.01987325
vRfRQJfTHiE_000030_000040_3.5_9.0,0.008298388
O8CrIlFXN1I_000030_000040_3.0_10.0,0.009396228
1FAkjQEynS4_000378_000388_4.5_9.5,0.015857037
XcFKQKjv0-o_000011_000021_0.0_7.0,0.0027186258
ayZClbRuLTQ_000111_000121_0.0_4.5,0.0012811446
U64aZ1NDXX4_000000_000010_1.0_4.0,0.012771334
V16JPartWQ8_000042_000052_1.0_4.0,5.0625868e-06
231-4GOUaDQ_000014_000024_7.0_10.0,0.0007852263
9hh5XknlASk_000121_000131_3.0_8.5,0.014038658
9kNLBpyWntg_000320_000330_1.5_4.5,0.0033460704
JE0ThPjXiK0_000029_000039_6.0_9.0,0.0021001059
Blmiz18_bZw_000008_000018_4.5_8.5,0.0021928025
ZINFbbyA_-M_000020_000030_0.0_3.0,0.067861006
AacxoIwQPMs_000066_000076_0.0_6.0,0.00017387143
hvhoZnyqYZI_000004_000014_6.0_9.5,0.0007676895
FX7m8rS8Ac4_000011_000021_2.0_4.1,0.0036191384
pK92ULXMrfE_000007_000017_0.0_3.0,0.0016955617
pG7eSZDHtfg_000030_000040_4.5_7.5,0.04326199
ymdpE68f1mw_000073_000083_5.5_8.5,0.007248508
s2oC2fJOytc_000074_000084_3.5_6.5,0.0013606852
5ogQ88sOAkA_000089_000099_4.0_7.0,0.012703782
y7dQgXUvR0c_000155_000165_5.5_8.0,0.00084243034
26-HMlPhve4_000020_000030_2.0_5.0,0.005455006
PaZ4aVEsPsE_000019_000029_1.5_8.5,0.1554763
Fon1IZ0fRSI_000000_000010_2.5_8.0,0.005517658
TIKsda31Sqs_000175_000185_7.0_10.0,0.019026948
W4oYuYGMwdw_000841_000851_0.0_3.0,0.006719993
FnJIoPY7gBE_000076_000086_1.5_6.5,9.389052e-05
MBICpOiWZks_000014_000024_2.5_8.5,0.00024556287
zF96Fvq3k9U_000150_000160_0.5_7.5,0.036393505
e1j5vGO5Knw_000110_000120_0.0_3.0,0.007686117
j1NgLtsilag_000010_000020_2.0_6.5,0.0012763527
F_w7uu4hmLU_000004_000014_0.0_10.0,0.0059383446
Jf_1BlsFO5s_000000_000010_0.0_7.0,0.010329626
K3CenN7d30Y_000030_000040_0.0_3.5,0.002585505
GwlX_hzX6q4_000044_000054_0.0_3.5,0.013278407
_JS6F_WP17w_000010_000020_4.5_7.5,0.0060438765
Rp37k5_Eci0_000030_000040_6.5_10.0,0.006426167
L_ucgLAe-TA_000599_000609_0.0_10.0,0.002867026
gkwJu2BtXZc_000060_000070_5.0_9.0,0.01843653
ItDPycjEE5s_000036_000046_4.0_7.0,0.0031561381
iuozNmF5TcI_000037_000047_0.0_3.0,0.000600327
MTi0XWcAnNM_000007_000017_5.0_9.0,0.003808276
8mU1Q6ffIqg_000023_000033_0.0_3.0,0.012982113
RxP-p8Twx7k_000020_000030_4.5_7.5,0.008233611
tEfjBCYLEVI_000011_000021_4.0_8.5,0.0058042887
S7n8hhwq2GY_000039_000049_0.0_3.0,0.0042978497
QFwyb-tbu6E_000090_000100_2.0_5.0,0.008665938
0sIYpf3_JWQ_000058_000068_0.0_5.0,0.0005765717
5WbYvoqG3fo_000138_000148_4.0_9.0,0.0027812242
8TPLOn32v3E_000153_000163_5.5_9.5,0.013583177
LS1BpvHTIeg_000007_000017_4.0_7.0,0.0063674725
