[INFO] No checkpoint found at None. Starting from scratch.
Start_epoch: 0, start_step: 0
Starting epoch 1/100...
Epoch 1:   0%|                                                                                                                                                                                          | 31/84952 [01:36<24:28:27,  1.04s/it, Loss=0.717]
Global Max: 0.08544282615184784
Global Max: 0.07744395732879639
Global Max: 0.24209874868392944
Global Max: 0.11995852738618851
Global Max: 0.09377988427877426
Global Max: 0.15970325469970703
Global Max: 0.11013727635145187
Global Max: 0.15759477019309998
Global Max: 0.21261069178581238
Global Max: 0.15577910840511322
Global Max: 0.099179707467556
Global Max: 0.14187271893024445
Global Max: 0.10660240799188614
Global Max: 0.15100055932998657
Global Max: 0.1326584368944168
Global Max: 0.24093550443649292
Global Max: 0.18566319346427917
Global Max: 0.12934932112693787
Global Max: 0.1561044454574585
Global Max: 0.16989591717720032
Global Max: 0.09631748497486115
Global Max: 0.07773084938526154
Global Max: 0.11977143585681915
Global Max: 0.24654428660869598
Global Max: 0.1690049022436142
Global Max: 0.20676259696483612
Global Max: 0.11481712758541107
Global Max: 0.16859358549118042
Global Max: 0.1600615382194519
Global Max: 0.18336322903633118
Global Max: 0.27459949254989624
Global Max: 0.2462686449289322
Global Max: 0.18950743973255157
Global Max: 0.13023635745048523
Global Max: 0.12944148480892181
Global Max: 0.19168931245803833
Global Max: 0.14345429837703705
Global Max: 0.09901316463947296
Global Max: 0.09138567745685577
Global Max: 0.2833409607410431
Global Max: 0.16052411496639252
Global Max: 0.15835003554821014
Global Max: 0.08165079355239868
Global Max: 0.16934457421302795
Global Max: 0.28856682777404785
Global Max: 0.3287946879863739
Global Max: 0.13479281961917877
Global Max: 0.45577794313430786
Global Max: 0.15636885166168213
Global Max: 0.172165647149086
Global Max: 0.12383902072906494
Global Max: 0.11201395839452744
Global Max: 0.14712797105312347
Global Max: 0.21725712716579437
Global Max: 0.19356991350650787
Global Max: 0.09359214454889297
Global Max: 0.10043784230947495
Global Max: 0.11922404170036316
Global Max: 0.12099514901638031
Global Max: 0.23129680752754211
Global Max: 0.1305321753025055
Global Max: 0.15213339030742645
Global Max: 0.08176231384277344
Global Max: 0.19883745908737183
Global Max: 0.12772783637046814
Global Max: 0.09759101271629333
Global Max: 0.10762156546115875
Global Max: 0.11846648156642914
Global Max: 0.17447063326835632
Global Max: 0.0862581729888916
Global Max: 0.15482628345489502
Global Max: 0.077473483979702
Global Max: 0.15642613172531128
Global Max: 0.11442124098539352
Global Max: 0.09925831854343414
Global Max: 0.18789538741111755
Global Max: 0.2256963551044464
Global Max: 0.11465441435575485
Global Max: 0.24988195300102234
Global Max: 0.14491525292396545
Global Max: 0.09651050716638565
Global Max: 0.12481815367937088
Global Max: 0.14433695375919342
Global Max: 0.1961408406496048
Global Max: 0.19554942846298218
Global Max: 0.17187927663326263
Global Max: 0.14008088409900665
Global Max: 0.1424507051706314
Global Max: 0.14008258283138275
Global Max: 0.12591777741909027
Global Max: 0.13564464449882507
Global Max: 0.13073216378688812
Global Max: 0.13104388117790222
Global Max: 0.2840372920036316
Global Max: 0.08295333385467529
Global Max: 0.14542563259601593
Global Max: 0.1372416466474533
Global Max: 0.09738818556070328
Global Max: 0.21423646807670593
Global Max: 0.11035729944705963
Global Max: 0.16084617376327515
Global Max: 0.11820487678050995
Global Max: 0.21485091745853424
Global Max: 0.22445379197597504
Global Max: 0.11691044270992279
Global Max: 0.09567543119192123
Global Max: 0.1875942498445511
Global Max: 0.18334388732910156
Global Max: 0.14598330855369568
Global Max: 0.11321903020143509
Global Max: 0.23647154867649078
Global Max: 0.17626731097698212
Global Max: 0.1596931368112564
Global Max: 0.2510110139846802
Global Max: 0.12671998143196106
Global Max: 0.12422952055931091
Global Max: 0.11475419998168945
Global Max: 0.0950368344783783
Global Max: 0.10448626428842545
Global Max: 0.11368326097726822
Global Max: 0.12448445707559586
Global Max: 0.12530305981636047
Global Max: 0.3536076545715332
Global Max: 0.1504412144422531
Global Max: 0.15292619168758392
Global Max: 0.1902683824300766
Global Max: 0.14306174218654633
Global Max: 0.18483524024486542
Global Max: 0.09166768938302994
Global Max: 0.1318640410900116
Global Max: 0.15246057510375977
Global Max: 0.21302682161331177
Global Max: 0.1389242261648178
Global Max: 0.13895680010318756
Global Max: 0.16125082969665527
Global Max: 0.08190757036209106
Global Max: 0.10174571722745895
Global Max: 0.12367744743824005
Global Max: 0.09629105776548386
Global Max: 0.1081036925315857
Global Max: 0.10941753536462784
Global Max: 0.10786497592926025
Global Max: 0.1901312917470932
Global Max: 0.2324443906545639
Global Max: 0.10763557255268097
Global Max: 0.15795740485191345
Global Max: 0.14537200331687927
Global Max: 0.16995419561862946
Global Max: 0.10930202901363373
Global Max: 0.10002279281616211
Global Max: 0.15856602787971497
Global Max: 0.10701264441013336
Global Max: 0.16273146867752075
Global Max: 0.07394323498010635
Global Max: 0.08102565258741379
Global Max: 0.3766038119792938
Global Max: 0.16042369604110718
Global Max: 0.0859430581331253
Global Max: 0.3255653381347656
Global Max: 0.18803901970386505
Global Max: 0.16108129918575287
Global Max: 0.22205433249473572
Global Max: 0.15151172876358032
Global Max: 0.231423020362854
Global Max: 0.07547052949666977
Global Max: 0.08387459814548492
Global Max: 0.10722044855356216
Global Max: 0.15875473618507385
Global Max: 0.1886923611164093
Global Max: 0.187115877866745
Global Max: 0.11116702854633331
Global Max: 0.12650862336158752
Global Max: 0.2891658842563629
Global Max: 0.08335920423269272
Global Max: 0.09137170761823654
Global Max: 0.13631199300289154
Global Max: 0.09496687352657318
Global Max: 0.10583741217851639
Global Max: 0.09799936413764954
Global Max: 0.09981901943683624
Global Max: 0.32333844900131226
Global Max: 0.1496420055627823
Global Max: 0.25514307618141174
Global Max: 0.11346147209405899
Global Max: 0.1645897775888443
Global Max: 0.17015127837657928
Global Max: 0.18217426538467407
Global Max: 0.12972095608711243
Global Max: 0.19245204329490662
Global Max: 0.08115382492542267
Global Max: 0.14106883108615875
Global Max: 0.2047460526227951
